,macro,iteration,value,n,n_cumsum,cost_cumsum
0,0,0,1.8925116062164307,0.0,0.0,0.0
1,0,1,1.8599069118499756,2.0,2.0,3.0
2,0,2,1.9522767066955566,2.0,4.0,5.0
3,0,3,1.938786268234253,2.0,6.0,7.0
4,0,4,1.925809621810913,2.0,8.0,9.0
5,0,5,1.9387843608856201,2.0,10.0,11.0
6,0,6,1.9547055959701538,2.0,12.0,13.0
7,0,7,1.953645944595337,2.0,14.0,15.0
8,0,8,1.9543964862823486,2.0,16.0,17.0
9,0,9,1.953529715538025,2.0,18.0,19.0
10,0,10,1.95405912399292,2.0,20.0,21.0
11,0,11,1.947941541671753,2.0,22.0,23.0
12,0,12,1.9513328075408936,2.0,24.0,25.0
13,0,13,1.9472442865371704,2.0,26.0,27.0
14,0,14,1.9435350894927979,2.0,28.0,29.0
15,0,15,1.9429932832717896,2.0,30.0,31.0
16,0,16,1.9491212368011475,2.0,32.0,33.0
17,0,17,1.9461870193481445,2.0,34.0,35.0
18,0,18,1.9443501234054565,2.0,36.0,37.0
19,0,19,1.9416183233261108,2.0,38.0,39.0
20,0,20,1.9438772201538086,2.0,40.0,41.0
21,0,21,1.9363369941711426,2.0,42.0,43.0
22,0,22,1.9377878904342651,2.0,44.0,45.0
23,0,23,1.933988094329834,2.0,46.0,47.0
24,0,24,1.9419431686401367,2.0,48.0,49.0
25,0,25,1.9466103315353394,2.0,50.0,51.0
26,0,26,1.9463341236114502,2.0,52.0,53.0
27,0,27,1.9483330249786377,2.0,54.0,55.0
28,0,28,1.944944977760315,2.0,56.0,57.0
29,0,29,1.9530224800109863,2.0,58.0,59.0
30,0,30,1.9461733102798462,2.0,60.0,61.0
31,0,31,1.948800802230835,2.0,62.0,63.0
32,0,32,1.9531017541885376,2.0,64.0,65.0
33,0,33,1.9541631937026978,2.0,66.0,67.0
34,0,34,1.9536147117614746,2.0,68.0,69.0
35,0,35,1.952784538269043,2.0,70.0,71.0
36,0,36,1.950087547302246,2.0,72.0,73.0
37,0,37,1.953953742980957,2.0,74.0,75.0
38,0,38,1.952601671218872,2.0,76.0,77.0
39,0,39,1.949817180633545,2.0,78.0,79.0
40,0,40,1.9490394592285156,2.0,80.0,81.0
41,1,0,1.8723087310791016,0.0,0.0,0.0
42,1,1,1.867976427078247,2.0,2.0,3.0
43,1,2,1.8825865983963013,2.0,4.0,5.0
44,1,3,1.9455370903015137,2.0,6.0,7.0
45,1,4,1.9157731533050537,2.0,8.0,9.0
46,1,5,1.9540367126464844,2.0,10.0,11.0
47,1,6,1.9504060745239258,2.0,12.0,13.0
48,1,7,1.953792929649353,2.0,14.0,15.0
49,1,8,1.9542009830474854,2.0,16.0,17.0
50,1,9,1.9441454410552979,2.0,18.0,19.0
51,1,10,1.9410393238067627,2.0,20.0,21.0
52,1,11,1.9376399517059326,2.0,22.0,23.0
53,1,12,1.9343291521072388,2.0,24.0,25.0
54,1,13,1.9549896717071533,2.0,26.0,27.0
55,1,14,1.9543535709381104,2.0,28.0,29.0
56,1,15,1.9540200233459473,2.0,30.0,31.0
57,1,16,1.9549479484558105,2.0,32.0,33.0
58,1,17,1.9459583759307861,2.0,34.0,35.0
59,1,18,1.9543328285217285,2.0,36.0,37.0
60,1,19,1.9515893459320068,2.0,38.0,39.0
61,1,20,1.9510990381240845,2.0,40.0,41.0
62,1,21,1.947608470916748,2.0,42.0,43.0
63,1,22,1.9459812641143799,2.0,44.0,45.0
64,1,23,1.9496955871582031,2.0,46.0,47.0
65,1,24,1.9531450271606445,2.0,48.0,49.0
66,1,25,1.9531733989715576,2.0,50.0,51.0
67,1,26,1.9548925161361694,2.0,52.0,53.0
68,1,27,1.953765630722046,2.0,54.0,55.0
69,1,28,1.9534146785736084,2.0,56.0,57.0
70,1,29,1.9550129175186157,2.0,58.0,59.0
71,1,30,1.9550151824951172,2.0,60.0,61.0
72,1,31,1.9533298015594482,2.0,62.0,63.0
73,1,32,1.9532063007354736,2.0,64.0,65.0
74,1,33,1.954963207244873,2.0,66.0,67.0
75,1,34,1.9550013542175293,2.0,68.0,69.0
76,1,35,1.9549791812896729,2.0,70.0,71.0
77,1,36,1.955003261566162,2.0,72.0,73.0
78,1,37,1.9547436237335205,2.0,74.0,75.0
79,1,38,1.9549692869186401,2.0,76.0,77.0
80,1,39,1.9512534141540527,2.0,78.0,79.0
81,1,40,1.954699993133545,2.0,80.0,81.0
82,2,0,1.8669970035552979,0.0,0.0,0.0
83,2,1,1.8705732822418213,2.0,2.0,3.0
84,2,2,1.723649263381958,2.0,4.0,5.0
85,2,3,1.8687756061553955,2.0,6.0,7.0
86,2,4,1.8473172187805176,2.0,8.0,9.0
87,2,5,1.8496711254119873,2.0,10.0,11.0
88,2,6,1.8489919900894165,2.0,12.0,13.0
89,2,7,1.8898701667785645,2.0,14.0,15.0
90,2,8,1.864696741104126,2.0,16.0,17.0
91,2,9,1.8669729232788086,2.0,18.0,19.0
92,2,10,1.880363941192627,2.0,20.0,21.0
93,2,11,1.869523048400879,2.0,22.0,23.0
94,2,12,1.886351227760315,2.0,24.0,25.0
95,2,13,1.8626301288604736,2.0,26.0,27.0
96,2,14,1.8686771392822266,2.0,28.0,29.0
97,2,15,1.87941312789917,2.0,30.0,31.0
98,2,16,1.8612024784088135,2.0,32.0,33.0
99,2,17,1.878845453262329,2.0,34.0,35.0
100,2,18,1.8843748569488525,2.0,36.0,37.0
101,2,19,1.8527511358261108,2.0,38.0,39.0
102,2,20,1.866405963897705,2.0,40.0,41.0
103,2,21,1.8762943744659424,2.0,42.0,43.0
104,2,22,1.88273286819458,2.0,44.0,45.0
105,2,23,1.8913967609405518,2.0,46.0,47.0
106,2,24,1.8586297035217285,2.0,48.0,49.0
107,2,25,1.8853944540023804,2.0,50.0,51.0
108,2,26,1.8574059009552002,2.0,52.0,53.0
109,2,27,1.8666902780532837,2.0,54.0,55.0
110,2,28,1.8620895147323608,2.0,56.0,57.0
111,2,29,1.8690500259399414,2.0,58.0,59.0
112,2,30,1.870206356048584,2.0,60.0,61.0
113,2,31,1.8849060535430908,2.0,62.0,63.0
114,2,32,1.8768806457519531,2.0,64.0,65.0
115,2,33,1.8958427906036377,2.0,66.0,67.0
116,2,34,1.8905162811279297,2.0,68.0,69.0
117,2,35,1.9087402820587158,2.0,70.0,71.0
118,2,36,1.8783588409423828,2.0,72.0,73.0
119,2,37,1.885561466217041,2.0,74.0,75.0
120,2,38,1.9303760528564453,2.0,76.0,77.0
121,2,39,1.8693315982818604,2.0,78.0,79.0
122,2,40,1.8882429599761963,2.0,80.0,81.0
123,3,0,1.873523235321045,0.0,0.0,0.0
124,3,1,1.9402366876602173,2.0,2.0,3.0
125,3,2,1.9440113306045532,2.0,4.0,5.0
126,3,3,1.9514830112457275,2.0,6.0,7.0
127,3,4,1.9546422958374023,2.0,8.0,9.0
128,3,5,1.9547674655914307,2.0,10.0,11.0
129,3,6,1.9507911205291748,2.0,12.0,13.0
130,3,7,1.9475398063659668,2.0,14.0,15.0
131,3,8,1.918349027633667,2.0,16.0,17.0
132,3,9,1.9261757135391235,2.0,18.0,19.0
133,3,10,1.954095482826233,2.0,20.0,21.0
134,3,11,1.9549856185913086,2.0,22.0,23.0
135,3,12,1.954932689666748,2.0,24.0,25.0
136,3,13,1.9491369724273682,2.0,26.0,27.0
137,3,14,1.9117285013198853,2.0,28.0,29.0
138,3,15,1.9240834712982178,2.0,30.0,31.0
139,3,16,1.9248707294464111,2.0,32.0,33.0
140,3,17,1.9038875102996826,2.0,34.0,35.0
141,3,18,1.9061524868011475,2.0,36.0,37.0
142,3,19,1.8713804483413696,2.0,38.0,39.0
143,3,20,1.903975486755371,2.0,40.0,41.0
144,3,21,1.9017186164855957,2.0,42.0,43.0
145,3,22,1.933609127998352,2.0,44.0,45.0
146,3,23,1.9296623468399048,2.0,46.0,47.0
147,3,24,1.9521621465682983,2.0,48.0,49.0
148,3,25,1.9501649141311646,2.0,50.0,51.0
149,3,26,1.9487407207489014,2.0,52.0,53.0
150,3,27,1.9446510076522827,2.0,54.0,55.0
151,3,28,1.9481751918792725,2.0,56.0,57.0
152,3,29,1.9431767463684082,2.0,58.0,59.0
153,3,30,1.9549994468688965,2.0,60.0,61.0
154,3,31,1.9546785354614258,2.0,62.0,63.0
155,3,32,1.9550156593322754,2.0,64.0,65.0
156,3,33,1.9550065994262695,2.0,66.0,67.0
157,3,34,1.9549598693847656,2.0,68.0,69.0
158,3,35,1.9548494815826416,2.0,70.0,71.0
159,3,36,1.9514189958572388,2.0,72.0,73.0
160,3,37,1.9533913135528564,2.0,74.0,75.0
161,3,38,1.9519340991973877,2.0,76.0,77.0
162,3,39,1.9528660774230957,2.0,78.0,79.0
163,3,40,1.9532551765441895,2.0,80.0,81.0
164,4,0,1.0452197790145874,0.0,0.0,0.0
165,4,1,1.0412050485610962,2.0,2.0,3.0
166,4,2,1.0319255590438843,2.0,4.0,5.0
