,macro,iteration,value,n,n_cumsum,cost_cumsum
0,0,0,1.8925116062164307,0.0,0.0,0.0
1,0,1,1.9372559785842896,5.0,5.0,4.5
2,0,2,1.9513410329818726,5.0,10.0,7.999999523162842
3,0,3,1.9544105529785156,5.0,15.0,11.499999046325684
4,0,4,1.9471867084503174,5.0,20.0,14.999999046325684
5,0,5,1.905414342880249,5.0,25.0,18.499998092651367
6,0,6,1.8466663360595703,5.0,30.0,21.999998092651367
7,0,7,1.8943616151809692,5.0,35.0,25.499998092651367
8,0,8,1.9024783372879028,5.0,40.0,28.999998092651367
9,0,9,1.9047600030899048,5.0,45.0,32.499996185302734
10,0,10,1.908752679824829,5.0,50.0,35.999996185302734
11,0,11,1.9174973964691162,5.0,55.0,39.499996185302734
12,0,12,1.9238464832305908,5.0,60.0,42.999996185302734
13,0,13,1.923473596572876,5.0,65.0,46.499996185302734
14,0,14,1.9268693923950195,5.0,70.0,49.999996185302734
15,0,15,1.9291915893554688,5.0,75.0,53.499996185302734
16,0,16,1.9309606552124023,5.0,80.0,56.999996185302734
17,1,0,1.8772549629211426,0.0,0.0,0.0
18,1,1,1.8218154907226562,5.0,5.0,4.5
19,1,2,1.949946641921997,5.0,10.0,7.999999523162842
20,1,3,1.939014196395874,5.0,15.0,11.499999046325684
21,1,4,1.9489469528198242,5.0,20.0,14.999999046325684
22,1,5,1.9550161361694336,5.0,25.0,18.499998092651367
23,1,6,1.9546527862548828,5.0,30.0,21.999998092651367
24,1,7,1.9542800188064575,5.0,35.0,25.499998092651367
25,1,8,1.9546091556549072,5.0,40.0,28.999998092651367
26,1,9,1.9549596309661865,5.0,45.0,32.499996185302734
27,1,10,1.9548174142837524,5.0,50.0,35.999996185302734
28,1,11,1.954487919807434,5.0,55.0,39.499996185302734
29,1,12,1.9546873569488525,5.0,60.0,42.999996185302734
30,1,13,1.9547574520111084,5.0,65.0,46.499996185302734
31,1,14,1.954241394996643,5.0,70.0,49.999996185302734
32,1,15,1.9536235332489014,5.0,75.0,53.499996185302734
33,1,16,1.9550135135650635,5.0,80.0,56.999996185302734
34,2,0,1.8642196655273438,0.0,0.0,0.0
35,2,1,1.8277170658111572,5.0,5.0,4.5
36,2,2,1.9174903631210327,5.0,10.0,7.999999523162842
37,2,3,1.9507722854614258,5.0,15.0,11.499999046325684
38,2,4,1.9464507102966309,5.0,20.0,14.999999046325684
39,2,5,1.941328763961792,5.0,25.0,18.499998092651367
40,2,6,1.9451411962509155,5.0,30.0,21.999998092651367
41,2,7,1.938087821006775,5.0,35.0,25.499998092651367
42,2,8,1.9428353309631348,5.0,40.0,28.999998092651367
43,2,9,1.9393943548202515,5.0,45.0,32.499996185302734
44,2,10,1.9450911283493042,5.0,50.0,35.999996185302734
45,2,11,1.938392162322998,5.0,55.0,39.499996185302734
46,2,12,1.938249111175537,5.0,60.0,42.999996185302734
47,2,13,1.9380910396575928,5.0,65.0,46.499996185302734
48,2,14,1.944974422454834,5.0,70.0,49.999996185302734
49,2,15,1.9465819597244263,5.0,75.0,53.499996185302734
50,2,16,1.9411978721618652,5.0,80.0,56.999996185302734
51,3,0,1.881087303161621,0.0,0.0,0.0
52,3,1,1.9440803527832031,5.0,5.0,4.5
53,3,2,1.935256004333496,5.0,10.0,7.999999523162842
54,3,3,1.9404871463775635,5.0,15.0,11.499999046325684
55,3,4,1.935609221458435,5.0,20.0,14.999999046325684
56,3,5,1.9359698295593262,5.0,25.0,18.499998092651367
57,3,6,1.9375311136245728,5.0,30.0,21.999998092651367
58,3,7,1.9229761362075806,5.0,35.0,25.499998092651367
59,3,8,1.9504189491271973,5.0,40.0,28.999998092651367
60,3,9,1.9493889808654785,5.0,45.0,32.499996185302734
61,3,10,1.9475044012069702,5.0,50.0,35.999996185302734
62,3,11,1.948593020439148,5.0,55.0,39.499996185302734
63,3,12,1.9507499933242798,5.0,60.0,42.999996185302734
64,3,13,1.94573974609375,5.0,65.0,46.499996185302734
65,3,14,1.950933575630188,5.0,70.0,49.999996185302734
66,3,15,1.952964425086975,5.0,75.0,53.499996185302734
67,3,16,1.952100157737732,5.0,80.0,56.999996185302734
68,4,0,1.038171410560608,0.0,0.0,0.0
69,4,1,1.0329030752182007,5.0,5.0,4.5
70,4,2,1.042752981185913,5.0,10.0,7.999999523162842
71,4,3,1.0389324426651,5.0,15.0,11.499999046325684
72,4,4,1.9293415546417236,5.0,20.0,14.999999046325684
73,4,5,1.8722620010375977,5.0,25.0,18.499998092651367
74,4,6,1.9340481758117676,5.0,30.0,21.999998092651367
75,4,7,1.9550089836120605,5.0,35.0,25.499998092651367
76,4,8,1.9517569541931152,5.0,40.0,28.999998092651367
77,4,9,1.952666997909546,5.0,45.0,32.499996185302734
78,4,10,1.952767014503479,5.0,50.0,35.999996185302734
79,4,11,1.9550049304962158,5.0,55.0,39.499996185302734
80,4,12,1.954975962638855,5.0,60.0,42.999996185302734
81,4,13,1.954479694366455,5.0,65.0,46.499996185302734
82,4,14,1.9546253681182861,5.0,70.0,49.999996185302734
83,4,15,1.9549171924591064,5.0,75.0,53.499996185302734
84,4,16,1.953005075454712,5.0,80.0,56.999996185302734
85,5,0,1.93621826171875,0.0,0.0,0.0
86,5,1,1.9549498558044434,5.0,5.0,4.5
87,5,2,1.9548680782318115,5.0,10.0,7.999999523162842
88,5,3,1.9536309242248535,5.0,15.0,11.499999046325684
89,5,4,1.9537253379821777,5.0,20.0,14.999999046325684
90,5,5,1.954717755317688,5.0,25.0,18.499998092651367
