,macro,iteration,value,n,n_cumsum,cost_cumsum
0,0,0,1.8925116062164307,0.0,0.0,0.0
1,0,1,1.8446075916290283,3.0,3.0,3.5
2,0,2,1.836179256439209,3.0,6.0,6.0
3,0,3,1.8952059745788574,4.0,10.0,9.0
4,0,4,1.9436416625976562,4.0,14.0,12.0
5,0,5,1.9548699855804443,5.0,19.0,15.5
6,0,6,1.9339345693588257,6.0,25.0,19.5
7,0,7,1.854109764099121,6.0,31.0,23.5
8,0,8,1.9221826791763306,6.0,37.0,27.5
9,0,9,1.9427132606506348,9.0,46.0,33.0
10,0,10,1.9344289302825928,9.0,55.0,38.5
11,0,11,1.9353952407836914,9.0,64.0,44.0
12,0,12,1.9477444887161255,10.0,74.0,50.0
13,0,13,1.9439382553100586,12.0,86.0,57.0
14,0,14,1.9183506965637207,12.0,98.0,64.0
15,0,15,1.8882439136505127,10.0,108.0,70.0
16,1,0,1.8654935359954834,0.0,0.0,0.0
17,1,1,1.8672471046447754,3.0,3.0,3.5
18,1,2,1.9273395538330078,3.0,6.0,6.0
19,1,3,1.951451063156128,5.0,11.0,9.5
20,1,4,1.9549486637115479,5.0,16.0,13.0
21,1,5,1.9492316246032715,5.0,21.0,16.5
22,1,6,1.949554443359375,6.0,27.0,20.5
23,1,7,1.9383326768875122,4.0,31.0,23.5
24,1,8,1.9165871143341064,7.0,38.0,28.0
25,1,9,1.9373403787612915,10.0,48.0,34.0
26,1,10,1.9383037090301514,7.0,55.0,38.5
27,1,11,1.9202513694763184,2.0,57.0,40.5
28,1,12,1.9364216327667236,2.0,59.0,42.5
29,1,13,1.948506236076355,8.0,67.0,47.5
30,1,14,1.9421629905700684,11.0,78.0,54.0
31,1,15,1.9428987503051758,10.0,88.0,60.0
32,2,0,1.8641836643218994,0.0,0.0,0.0
33,2,1,1.8681906461715698,3.0,3.0,3.5
34,2,2,1.9372384548187256,3.0,6.0,6.0
35,2,3,1.9463963508605957,3.0,9.0,8.5
36,2,4,1.9539811611175537,3.0,12.0,11.0
37,2,5,1.9520015716552734,5.0,17.0,14.5
38,2,6,1.9549133777618408,5.0,22.0,18.0
39,2,7,1.954817295074463,3.0,25.0,20.5
40,2,8,1.9536798000335693,6.0,31.0,24.5
41,2,9,1.9414279460906982,7.0,38.0,29.0
42,2,10,1.9525635242462158,7.0,45.0,33.5
43,2,11,1.9493417739868164,5.0,50.0,37.0
44,2,12,1.94864821434021,3.0,53.0,39.5
45,2,13,1.949112892150879,4.0,57.0,42.5
46,2,14,1.948789119720459,2.0,59.0,44.5
47,2,15,1.9471919536590576,3.0,62.0,47.0
48,3,0,1.874376893043518,0.0,0.0,0.0
49,3,1,1.933574914932251,3.0,3.0,3.5
50,3,2,1.8918163776397705,3.0,6.0,6.0
51,3,3,1.9126496315002441,3.0,9.0,8.5
52,3,4,1.9266409873962402,4.0,13.0,11.5
53,3,5,1.950272560119629,4.0,17.0,14.5
54,3,6,1.9545764923095703,5.0,22.0,18.0
55,3,7,1.9522669315338135,5.0,27.0,21.5
56,3,8,1.9447472095489502,5.0,32.0,25.0
57,3,9,1.9503856897354126,8.0,40.0,30.0
58,3,10,1.9471617937088013,2.0,42.0,32.0
59,3,11,1.954879879951477,7.0,49.0,36.5
60,3,12,1.9322978258132935,10.0,59.0,42.5
61,3,13,1.9107047319412231,8.0,67.0,47.5
62,3,14,1.9495253562927246,7.0,74.0,52.0
63,3,15,1.9491291046142578,10.0,84.0,58.0
64,4,0,1.0420811176300049,0.0,0.0,0.0
65,4,1,1.0270330905914307,3.0,3.0,3.5
66,4,2,1.0134011507034302,4.0,7.0,6.5
67,4,3,1.0033003091812134,4.0,11.0,9.5
68,4,4,1.0166865587234497,5.0,16.0,13.0
69,4,5,1.0260488986968994,6.0,22.0,17.0
70,4,6,1.027156949043274,3.0,25.0,19.5
71,4,7,1.8957253694534302,3.0,28.0,22.0
72,4,8,1.8532882928848267,3.0,31.0,24.5
73,4,9,1.9000322818756104,5.0,36.0,28.0
74,4,10,1.944413185119629,4.0,40.0,31.0
75,4,11,1.9541641473770142,6.0,46.0,35.0
76,4,12,1.9547199010849,7.0,53.0,39.5
77,4,13,1.9409456253051758,7.0,60.0,44.0
78,4,14,1.9487112760543823,7.0,67.0,48.5
79,4,15,1.944807529449463,9.0,76.0,54.0
80,5,0,1.9285991191864014,0.0,0.0,0.0
81,5,1,1.954150676727295,3.0,3.0,3.5
82,5,2,1.9533320665359497,4.0,7.0,6.5
83,5,3,1.9526033401489258,4.0,11.0,9.5
84,5,4,1.9547076225280762,6.0,17.0,13.5
85,5,5,1.9464373588562012,5.0,22.0,17.0
86,5,6,1.9454468488693237,4.0,26.0,20.0
87,5,7,1.9512898921966553,8.0,34.0,25.0
88,5,8,1.9535162448883057,5.0,39.0,28.5
89,5,9,1.9542306661605835,8.0,47.0,33.5
90,5,10,1.9510785341262817,6.0,53.0,37.5
91,5,11,1.9518342018127441,2.0,55.0,39.5
92,5,12,1.9456959962844849,7.0,62.0,44.0
93,5,13,1.9466029405593872,7.0,69.0,48.5
94,5,14,1.941795825958252,9.0,78.0,54.0
95,5,15,1.942305088043213,3.0,81.0,56.5
96,6,0,1.893242597579956,0.0,0.0,0.0
97,6,1,1.8899569511413574,4.0,4.0,4.0
98,6,2,1.8708455562591553,4.0,8.0,7.0
99,6,3,1.9549872875213623,5.0,13.0,10.5
100,6,4,1.9384968280792236,6.0,19.0,14.5
101,6,5,1.9400880336761475,6.0,25.0,18.5
102,6,6,1.945357084274292,6.0,31.0,22.5
103,6,7,1.9391177892684937,7.0,38.0,27.0
104,6,8,1.9341527223587036,8.0,46.0,32.0
105,6,9,1.9387714862823486,11.0,57.0,38.5
106,6,10,1.9508857727050781,10.0,67.0,44.5
107,6,11,1.9477219581604004,7.0,74.0,49.0
108,6,12,1.949764609336853,7.0,81.0,53.5
109,6,13,1.9496304988861084,3.0,84.0,56.0
110,6,14,1.9542038440704346,10.0,94.0,62.0
111,6,15,1.952296495437622,13.0,107.0,69.5
112,7,0,1.941636323928833,0.0,0.0,0.0
113,7,1,1.89687979221344,3.0,3.0,3.5
114,7,2,1.7722985744476318,3.0,6.0,6.0
115,7,3,1.693840503692627,3.0,9.0,8.5
116,7,4,1.7734417915344238,3.0,12.0,11.0
117,7,5,1.78252375125885,3.0,15.0,13.5
118,7,6,1.8554133176803589,5.0,20.0,17.0
119,7,7,1.7828717231750488,7.0,27.0,21.5
120,7,8,1.953986406326294,5.0,32.0,25.0
121,7,9,1.6741681098937988,6.0,38.0,29.0
122,7,10,1.912689447402954,6.0,44.0,33.0
123,7,11,1.7280733585357666,6.0,50.0,37.0
124,7,12,1.7699700593948364,7.0,57.0,41.5
125,7,13,1.774817705154419,8.0,65.0,46.5
126,7,14,1.864100694656372,7.0,72.0,51.0
127,7,15,1.7828868627548218,7.0,79.0,55.5
128,8,0,1.954965353012085,0.0,0.0,0.0
129,8,1,1.9543960094451904,3.0,3.0,3.5
130,8,2,1.923981785774231,4.0,7.0,6.5
131,8,3,1.9170095920562744,4.0,11.0,9.5
132,8,4,1.921766757965088,6.0,17.0,13.5
133,8,5,1.946552038192749,5.0,22.0,17.0
134,8,6,1.9445979595184326,6.0,28.0,21.0
135,8,7,1.9264049530029297,8.0,36.0,26.0
136,8,8,1.9418878555297852,8.0,44.0,31.0
137,8,9,1.9514602422714233,9.0,53.0,36.5
138,8,10,1.9549157619476318,6.0,59.0,40.5
139,8,11,1.9546945095062256,6.0,65.0,44.5
140,8,12,1.9538977146148682,13.0,78.0,52.0
141,8,13,1.9532804489135742,9.0,87.0,57.5
142,8,14,1.9533647298812866,3.0,90.0,60.0
143,8,15,1.954885482788086,11.0,101.0,66.5
144,9,0,1.9422266483306885,0.0,0.0,0.0
145,9,1,1.9505757093429565,3.0,3.0,3.5
146,9,2,1.9481980800628662,4.0,7.0,6.5
147,9,3,1.9511034488677979,5.0,12.0,10.0
148,9,4,1.9547765254974365,6.0,18.0,14.0
149,9,5,1.954084873199463,7.0,25.0,18.5
150,9,6,1.9534282684326172,5.0,30.0,22.0
151,9,7,1.954984188079834,6.0,36.0,26.0
152,9,8,1.954972743988037,2.0,38.0,28.0
153,9,9,1.954975962638855,2.0,40.0,30.0
154,9,10,1.9531195163726807,6.0,46.0,34.0
155,9,11,1.9541146755218506,7.0,53.0,38.5
156,9,12,1.9532732963562012,10.0,63.0,44.5
157,9,13,1.9523729085922241,10.0,73.0,50.5
158,9,14,1.9521629810333252,8.0,81.0,55.5
159,9,15,1.9511728286743164,3.0,84.0,58.0
160,10,0,1.7405619621276855,0.0,0.0,0.0
161,10,1,1.7814968824386597,3.0,3.0,3.5
162,10,2,1.7438583374023438,4.0,7.0,6.5
163,10,3,1.7573866844177246,5.0,12.0,10.0
164,10,4,1.8837231397628784,5.0,17.0,13.5
165,10,5,1.9538764953613281,5.0,22.0,17.0
166,10,6,1.9430162906646729,4.0,26.0,20.0
167,10,7,1.9443135261535645,4.0,30.0,23.0
